Date,Ticker,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),EPS next Y...33,EPS next Q,EPS this Y,EPS next Y...36,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Beta,ATR,Prev Close,Price,Change,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile,P/E_diff,Forward P/E_diff,PEG_diff,P/S_diff,P/B_diff,P/C_diff,P/FCF_diff,Quick Ratio_diff,Current Ratio_diff,Debt/Eq_diff,LT Debt/Eq_diff,SMA20_diff,EPS (ttm)_diff,EPS next Y...33_diff,EPS next Q_diff,EPS this Y_diff,EPS next Y...36_diff,EPS next 5Y_diff,EPS past 5Y_diff,Sales past 5Y_diff,Sales Q/Q_diff,EPS Q/Q_diff,Beta_diff,ATR_diff,Prev Close_diff,Price_diff,Change_diff,ESG Totalesg_diff,ESG Environmentscore_diff,ESG Socialscore_diff,ESG Governancescore_diff,ESG Highestcontroversy_diff,ESG Percentile_diff
2021.08.07-S/0,AAPL,28.62,26.12,1.46,6.95,37.76,39.1,29.99,1,1.1,1.89,1.65,-0.0017,5.11,5.59,1.22,0.102,0.0158,0.1961,0.073,0.033,0.364,1.006,1.2,2.58,147.06,146.14,-0.0063,16.92,0.29,7.69,8.94,3,12.58,0.05000000000000071,0.05000000000000071,0,0.020000000000000462,0.07000000000000028,0.0799999999999983,0.05999999999999872,0,0,0,0,-0.0069,0,0,0,0,0,0,0,0,0,0,0,-0.19999999999999973,1.420000000000016,0.2799999999999727,-0.0078,0,0,0,0,0,0
2021.08.08-S/0,AAPL,28.62,25.78,1.46,7,37.76,39.4,30.22,1,1.1,1.89,1.65,-0.0017,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.58,147.06,146.14,-0.0063,16.92,0.29,7.69,8.94,3,12.58,0.05000000000000071,-0.28999999999999915,0,0.07000000000000028,0.07000000000000028,0.37999999999999545,0.28999999999999915,0,0,0,0,-0.0015999999999999999,0,0.08000000000000007,0.010000000000000009,0,-9.000000000000015e-4,0,0,0,0,0,0,-0.19999999999999973,1.1999999999999886,0.6199999999999761,-0.004,0,0,0,0,0,0
2021.08.10-S/0,AAPL,28.61,25.77,1.46,7,37.75,39.39,30.21,1,1.1,1.89,1.65,-0.0063,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.5,146.09,145.6,-0.0034,16.92,0.29,7.69,8.94,3,12.58,-0.25,-0.5700000000000003,-0.010000000000000009,-0.009999999999999787,-0.3299999999999983,-0.030000000000001137,-0.029999999999997584,0,0,0,0,-0.0169,0,0.08000000000000007,0.010000000000000009,0,-9.000000000000015e-4,0,0,0,0,0,0,-0.2400000000000002,0.5699999999999932,-1.7600000000000193,-0.016,0,0,0,0,0,0
2021.08.11-S/0,AAPL,28.52,25.69,1.45,6.98,37.62,39.26,30.11,1,1.1,1.89,1.65,-0.004,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.53,145.6,145.93,0.0022,16.92,0.29,7.69,8.94,3,12.58,-0.26000000000000156,-0.5700000000000003,-0.020000000000000018,-0.009999999999999787,-0.3500000000000014,-0.05000000000000426,-0.05000000000000071,0,0,0,0,-0.01,0,0.08000000000000007,0.010000000000000009,0,-9.000000000000015e-4,0,0,0,0,0,0,-0.14000000000000012,-1.7600000000000193,-1.0199999999999818,0.005,0,0,0,0,0,0
2021.08.13-S/0,AAPL,29.16,26.27,1.49,7.13,38.47,40.14,30.79,1,1.1,1.89,1.65,0.0172,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.54,148.89,148.89,0,16.92,0.29,7.69,8.94,3,12.58,0.5399999999999991,0.14999999999999858,0.030000000000000027,0.17999999999999972,0.7100000000000009,1.0399999999999991,0.8000000000000007,0,0,0,0,0.0189,0,0.08000000000000007,0.010000000000000009,0,-9.000000000000015e-4,0,0,0,0,0,0,-0.040000000000000036,1.829999999999984,2.75,0.0063,0,0,0,0,0,0
2021.08.14-S/0,AAPL,29.2,26.31,1.49,7.14,38.53,40.2,30.84,1,1.1,1.89,1.65,0.0186,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.43,148.89,149.1,0.0014,16.92,0.29,7.69,8.94,3,12.58,0.5799999999999983,0.18999999999999773,0.030000000000000027,0.1899999999999995,0.7700000000000031,1.1000000000000014,0.8500000000000014,0,0,0,0,0.0203,0,0.08000000000000007,0.010000000000000009,0,-9.000000000000015e-4,0,0,0,0,0,0,-0.1499999999999999,1.829999999999984,2.960000000000008,0.0077,0,0,0,0,0,0
2021.08.15-S/0,AAPL,29.2,26.31,1.49,7.09,38.53,39.89,30.6,1,1.1,1.89,1.65,0.0186,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.43,148.89,149.1,0.0014,16.92,0.29,7.69,8.94,3,12.58,0.5799999999999983,0.5299999999999976,0.030000000000000027,0.08999999999999986,0.7700000000000031,0.490000000000002,0.38000000000000256,0,0,0,0,0.0203,0,0,0,0,0,0,0,0,0,0,0,-0.1499999999999999,1.829999999999984,2.960000000000008,0.0077,0,0,0,0,0,0
2021.08.16-S/0,AAPL,29.2,26.31,1.49,7.09,38.53,39.89,30.6,1,1.1,1.89,1.65,0.0082,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.43,149.1,147.71,-0.0093,16.92,0.29,7.69,8.94,3,12.58,0.5899999999999999,0.5399999999999991,0.030000000000000027,0.08999999999999986,0.7800000000000011,0.5,0.39000000000000057,0,0,0,0,0.0145,0,0,0,0,0,0,0,0,0,0,0,-0.06999999999999984,3.009999999999991,2.1100000000000136,-0.005899999999999999,0,0,0,0,0,0
2021.08.17-S/0,AAPL,29.6,26.66,1.51,7.19,39.05,40.43,31.01,1,1.1,1.89,1.65,0.0315,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.61,149.1,151.12,0.0135,16.92,0.29,7.69,8.94,3,12.58,1.0800000000000018,0.9699999999999989,0.06000000000000005,0.20999999999999996,1.4299999999999997,1.1700000000000017,0.9000000000000021,0,0,0,0,0.035500000000000004,0,0,0,0,0,0,0,0,0,0,0,0.08000000000000007,3.5,5.189999999999998,0.0113,0,0,0,0,0,0
2021.08.18-S/0,AAPL,28.66,25.82,1.46,6.96,37.82,39.16,30.04,1,1.1,1.89,1.65,-0.0053,5.11,5.67,1.23,0.102,0.0149,0.1961,0.073,0.033,0.364,1.006,1.2,2.75,150.19,146.36,-0.0255,16.92,0.29,7.69,8.94,3,12.58,-0.5,-0.4499999999999993,-0.030000000000000027,-0.16999999999999993,-0.6499999999999986,-0.980000000000004,-0.75,0,0,0,0,-0.0225,0,0,0,0,0,0,0,0,0,0,0,0.20999999999999996,1.3000000000000114,-2.5299999999999727,-0.0255,0,0,0,0,0,0
