Date,SMA20,ATR,Price,SMA20_diff,ATR_diff,Price_diff
2021.08.08-S/0,-0.0017,2.58,146.14,-0.0053,0,-0.34
2021.08.10-S/0,-0.0063,2.5,145.6,0.0107,-0.04,1.84
2021.08.11-S/0,-0.004,2.53,145.93,-0.0046,-0.07,-0.41
2021.08.13-S/0,0.0172,2.54,148.89,-0.0077,-0.09,-0.81
2021.08.14-S/0,0.0186,2.43,149.1,0,0,0
2021.08.15-S/0,0.0186,2.43,149.1,0,0,0
2021.08.16-S/0,0.0082,2.43,147.71,-0.0046,-0.08,-0.54
2021.08.17-S/0,0.0315,2.61,151.12,0.0023,0.03,0.33
2021.08.18-S/0,-0.0053,2.75,146.36,0.0212,0.01,2.96
2021.08.19-S/0,-0.0033,2.82,146.7,0.0014,-0.11,0.21
2021.08.20-S/0,0.0068,2.68,148.19,0,0,0
2021.08.21-S/0,0.0068,2.68,148.19,-0.0104,0,-1.39
2021.08.22-S/0,0.0068,2.68,148.19,0.0233,0.18,3.41
2021.08.23-S/0,0.0173,2.68,149.71,-0.0368,0.14,-4.76
2021.08.24-S/0,0.0164,2.61,149.62,0.002,0.07,0.34
2021.08.25-S/0,0.0033,2.61,147.84,0.0101,-0.14,1.49
2021.08.26-S/0,0.0069,2.52,148.36,0,0,0
2021.08.27-S/0,0.0067,2.37,148.6,0,0,0
2021.08.28-S/0,0.0067,2.37,148.6,0.0105,0,1.52
2021.08.29-S/0,0.0067,2.37,148.6,-9.00E-04,-0.07,-0.09
2021.08.30-S/0,0.0067,2.37,148.6,-0.0131,0,-1.78
2021.08.31-S/0,0.025,2.5,151.83,0.0036,-0.09,0.52
