Date,Ticker,Name,Sector,Industry,Country,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),SMA50,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,SMA200,Price,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile
2021.08.01,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,46330000000,925000000,5820000000,15.82,4.56,0.78,0.0051,16500,51.33,33.15,4.75,7.96,9.69,33.57,45.24,1.5,2,0.61,0.57,0.0243,2.98,0.0616,0.094,0.19,0.1,0.535,0.197,0.159,0.2075,153.23,16.57,0.87,9.44,6.26,2,11.74
2021.08.01,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,7350000000,431000000,10460000000,20.16,9.02,NA,NA,12900,17.72,8.47,NA,0.7,1.99,4.45,NA,1,1.6,0.59,0.59,0.102,2.27,0.0968,0.029,0.126,0.056,0.191,0.094,0.041,0.4392,40.15,31.31,18.26,8.12,4.93,3,62.5
2021.08.01,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1220000000,NA,NA,7.49,0.01,NA,NA,NA,59.63,NA,NA,NA,1.31,1015.65,NA,11,11,0,0,0.0017,0.16,0,NA,NA,NA,NA,NA,NA,-0.0027,9.78,NA,NA,NA,NA,NA,NA
2021.08.01,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,100200000,-15000000,25900000,0.96,0.46,NA,NA,580,NA,NA,NA,3.87,3.24,6.77,NA,0.4,0.4,0.03,0,0.0016,-0.42,0.0132,-0.165,-0.442,-0.482,0.4,-0.635,-0.58,0.1186,3.11,NA,NA,NA,NA,NA,NA
2021.08.01,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,133289999.99999999,17500000,42400000,6.15,1.4,NA,NA,12,7.85,14.68,NA,3.14,0.63,2.77,9.32,NA,NA,3.12,0.64,-0.0059,0.49,-0.0322,0.018,0.085,NA,0.774,NA,0.412,0.0281,3.86,NA,NA,NA,NA,NA,NA
2021.08.01,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,13710000000,-5808000000,18690000000,-11.9,26.69,NA,NA,102700,NA,23.16,NA,0.73,NA,0.76,NA,1,1.1,NA,NA,-0.0223,-10.46,-0.0828,-0.087,0.83,-0.305,0.478,-0.335,-0.311,0.0721,20.38,28.03,9.8,12.65,5.58,2,50.57
2021.08.01,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,31390000,-9400000,NA,-43.49,56.27,NA,NA,112,NA,NA,NA,NA,NA,0.27,NA,4,4,NA,NA,-0.1312,-5.76,-0.1556,NA,NA,NA,NA,NA,NA,-0.2626,15.02,NA,NA,NA,NA,NA,NA
2021.08.01,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,84090000,19400000,205000000,6.52,0.99,0.02,0.0049,152,4.42,NA,NA,0.41,0.63,4.12,6.37,NA,NA,0.25,0.25,-0.0294,0.93,-0.0345,0.05,0.147,0.077,NA,0.13,0.095,0.1783,4.09,NA,NA,NA,NA,NA,NA
2021.08.01,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,931920000,NA,1820000000,22.16,1.49,0.4,0.0139,9400,9.46,9.83,NA,0.51,1.3,19.42,NA,NA,NA,0,0,-0.0167,3.05,-0.1187,NA,NA,-0.363,NA,NA,NA,0.1163,28.87,NA,NA,NA,NA,NA,NA
2021.08.01,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,208710000,-57300000,243900000,10.53,1.69,NA,NA,2682,NA,NA,NA,0.86,0.73,4.59,NA,1.1,2.1,0.54,0.33,0.0054,-2.47,-0.0497,-0.119,-0.212,-0.132,0.225,-0.185,-0.235,-0.127,7.73,NA,NA,NA,NA,NA,NA
